Update_Date_Team,Competition_ID,Competiton,Team_ID,Team,Overall_Comp,Attack_Comp,Milieu_Comp,Defense_Comp,NbJoueurs_Team,pays
"Aug 18, 2022",330, [Romania] Liga 1,113387,Chindia Târgovişte,64,65,64,63,28,Romania
"Aug 18, 2022",350, [Saudi Arabia] Pro League,114143,Al-Ain,65,62,67,64,27,Saudi Arabia
"Aug 18, 2022",338, [Uruguay] Primera Division,114024,Plaza Colonia,64,63,64,61,20,Uruguay
"Aug 18, 2022",330, [Romania] Liga 1,113380,Mioveni,63,63,63,63,28,Romania
"Aug 18, 2022",32, [Italy] Serie B,113958,Pordenone,68,68,67,69,25,Italy
"Aug 18, 2022",17, [France] Ligue 2,113948,Béziers,65,62,64,65,28,France
"Aug 18, 2022",330, [Romania] Liga 1,113378,Sepsi,66,65,66,65,24,Romania
"Aug 18, 2022",56, [Sweden] Allsvenskan,113876,Dalkurd,60,60,59,59,18,Sweden
"Aug 18, 2022",2018, [Ecuador] Liga Pro,113723,Guayaquil City,64,65,64,63,20,Ecuador
"Aug 18, 2022",1, [Denmark] Superliga,113720,FC Helsingør,59,59,60,59,27,Denmark
"Aug 18, 2022",67, [Russia] Premier League,113704,Tosno,68,67,67,68,27,Russia
"Aug 18, 2022",2149, [India] Indian Super League,113302,Bengaluru,61,65,59,61,27,India
"Aug 18, 2022",7, [Brazil] Serie A,113677,CSA,71,71,72,71,20,Brazil
"Aug 18, 2022",2149, [India] Indian Super League,113301,Hyderabad,61,60,64,59,28,India
"Aug 18, 2022",2149, [India] Indian Super League,113300,Mumbai City,62,63,65,60,28,India
"Aug 18, 2022",2149, [India] Indian Super League,113299,Kerala Blasters,61,66,62,60,26,India
"Aug 18, 2022",2149, [India] Indian Super League,113298,Goa,60,66,60,59,27,India
"Aug 18, 2022",2149, [India] Indian Super League,113297,Chennaiyin,59,61,60,57,28,India
"Aug 18, 2022",68, [Turkey] Super Lig,113259,Yeni Malatyaspor,66,72,65,66,23,Turkey
"Aug 18, 2022",61, [England] League Two,142,Doncaster Rovers,62,62,62,61,28,England
"Aug 18, 2022",350, [Saudi Arabia] Pro League,113345,Al Adalh,65,70,63,61,30,Saudi Arabia
"Aug 18, 2022",1, [Denmark] Superliga,1443,Viborg,65,64,67,65,24,Denmark
Update_Date_Team,Competition_ID,Competiton,Team_ID,Team,Overall_Comp,Attack_Comp,Milieu_Comp,Defense_Comp,NbJoueurs_Team,pays
"Aug 18, 2022",13, [England] Premier League,5,Chelsea,83,83,79,83,33,England
"Aug 18, 2022",13, [England] Premier League,9,Liverpool,84,84,82,84,33,England
"Aug 18, 2022",13, [England] Premier League,13,Newcastle United,79,79,78,79,30,England
"Aug 18, 2022",31, [Italy] Serie A,47,Milan,81,80,81,81,30,Italy
"Aug 18, 2022",19, [Germany] Bundesliga,21,FC Bayern München,85,83,85,84,29,Germany
"Aug 18, 2022",13, [England] Premier League,17,Southampton,76,76,72,76,31,England
"Aug 18, 2022",13, [England] Premier League,14,Nottingham Forest,77,75,76,77,33,England
"Aug 18, 2022",53, [Spain] La Liga,241,FC Barcelona,83,83,85,82,31,Spain
